"Gene"	"logFC"	"CI.L"	"CI.R"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"se.coef"
"Arhgap4"	0.722	0.457	0.987	5.864	5.75	2.41e-05	0.000123	0.103
"Lrrc42"	0.513	0.325	0.701	12.405	5.75	2.41e-05	0.000123	0.098
"Lrp4"	0.828	0.524	1.132	10.343	5.747	2.42e-05	0.000123	0.109
"Golga7b"	-1.856	-2.537	-1.174	5.614	-5.747	2.42e-05	0.000124	0.382
"Angel2"	-0.467	-0.638	-0.295	9.887	-5.745	2.43e-05	0.000124	0.087
"Klc1"	-0.704	-0.962	-0.445	13.686	-5.745	2.43e-05	0.000124	0.203
"Txndc11"	1.014	0.641	1.386	10.048	5.744	2.43e-05	0.000124	0.115
"Shd"	-0.888	-1.214	-0.562	12.368	-5.743	2.44e-05	0.000124	0.102
"Ankrd13a"	0.945	0.598	1.292	9.828	5.742	2.44e-05	0.000124	0.403
"Ndufs2"	-0.582	-0.796	-0.368	14.942	-5.741	2.45e-05	0.000125	0.119
"Nppa"	-1.502	-2.054	-0.95	7.057	-5.741	2.45e-05	0.000125	0.17
"Hrh3"	-1.578	-2.158	-0.998	8.225	-5.74	2.45e-05	0.000125	0.13
"Pttg1"	1.59	1.005	2.175	12.345	5.74	2.45e-05	0.000125	0.152
"Hspa12a"	-1.125	-1.539	-0.711	8.644	-5.738	2.46e-05	0.000125	0.41
"ND2"	-0.89	-1.217	-0.562	12.861	-5.738	2.46e-05	0.000125	0.106
"RGD1563847"	1.026	0.649	1.403	10.079	5.738	2.46e-05	0.000125	0.212
"Ddx18"	0.472	0.298	0.646	10.624	5.737	2.47e-05	0.000125	0.122
"Pcdh7"	-0.959	-1.311	-0.606	11.484	-5.737	2.47e-05	0.000125	0.129
"Pde10a"	-0.985	-1.348	-0.623	8.263	-5.737	2.47e-05	0.000125	0.18
"Rnaseh2c"	-0.503	-0.688	-0.318	13.461	-5.737	2.47e-05	0.000125	0.141
"Ccnc"	-0.699	-0.957	-0.442	8.869	-5.735	2.48e-05	0.000126	0.129
"Fbxw17"	0.584	0.369	0.799	10.528	5.731	2.5e-05	0.000127	0.428
"Sec61a1"	0.835	0.527	1.142	7.755	5.731	2.5e-05	0.000127	0.146
"Tmem74"	-0.977	-1.337	-0.617	9.246	-5.73	2.5e-05	0.000127	0.132
"Ccdc88a"	-0.535	-0.733	-0.338	7.876	-5.729	2.51e-05	0.000127	0.155
"Cebpzos"	-0.425	-0.582	-0.269	10.332	-5.728	2.51e-05	0.000127	0.286
"Stmn2"	-1.514	-2.072	-0.956	13.269	-5.727	2.52e-05	0.000128	0.192
"Cda"	-1.241	-1.699	-0.784	8.393	-5.726	2.52e-05	0.000128	0.168
"Trnt1"	-0.667	-0.912	-0.421	11.051	-5.726	2.52e-05	0.000128	0.459
